CPU_Model,Core_Count,Date,Score
AMD R7 7800X3D,(8C/16T),[7/24],458.1
AMD R7 5800X3D,(8C/16T),[7/24],399.2
AMD R9 9950X,(16C/32T),[8/24],393.7
Intel i9-14900K,(8P/16E/32T),[7/24],390.9
AMD R9 9900X,(12C/24T),[8/24],382.8
AMD R7 9700X,(8C/16T),[8/24],380.2
Intel i9-13900K,(8P/16E/32T),[7/24],377.3
Intel i7-14700K,(8P/12E/28T),[7/24],373.2
AMD R5 5600X3D,(6C/12T),[7/24],371.7
AMD R9 7950X,(16C/32T),[7/24],368.9
AMD R7 7700X,(8C/16T),[7/24],366.3
Intel i7-13700K,(8P/8E/24T),[7/24],358.6
AMD R7 5700X3D,(8C/16T),[7/24],357.0
AMD R7 7700,(8C/16T),[8/24],352.4
AMD R9 7900,(12C/24T),[7/24],349.7
AMD R5 7600X,(6C/12T),[7/24],347.6
Intel i5-14600K,(6P/8E/20T),[7/24],326.9
Intel i9-12900K,(8P/8E/24T),[7/24],321.5
Intel i5-13600K,(6P/8E/20T),[7/24],317.5
AMD R9 5900X,(12C/24T),[7/24],311.2
AMD R9 5950X,(16C/32T),[7/24],304.4
AMD R7 5800X,(8C/16T),[7/24],292.5
AMD R5 5600X,(6C/12T),[7/24],279.3
Intel i5-12600K,(6P/4E/16T),[7/24],272.4
AMD R9 3950X,(16C/32T),[7/24],229.3
Intel i3-12100F,(4P/0E/8T),[7/24],226.2
AMD R7 3700X,(8C/16T),[7/24],211.7
AMD R5 3600,(6C/12T),[7/24],206.1
AMD R7 2700,(8C/16T),[7/24],171.1
AMD R5 2600,(6C/12T),[7/24],163.9
AMD R7 1700X,(8C/16T),[7/24],158.9
AMD R7 1700,(8C/16T),[7/24],151.4
AMD R5 1600,(6C/12T),[7/24],144.5
